Rank,Word,Frequency
307,아닌,0.04
308,이건,0.04
309,드디어,0.04
310,디엠,0.04
311,있을,0.04
312,온앤오프,0.04
313,하,0.04
314,나를,0.04
315,사랑해,0.04
316,지니,0.04
317,을,0.04
318,알고,0.04
319,도영,0.04
320,ㅜㅜ,0.03
321,지,0.03
322,걸,0.03
323,얼굴,0.03
324,다음,0.03
325,있는데,0.03
326,주말,0.03
327,마음,0.03
328,삼제노의,0.03
329,행운,0.03
330,최파타,0.03
331,차,0.03
332,지민,0.03
333,거의,0.03
334,키우는,0.03
335,좋다,0.03
336,유명한,0.03
337,를,0.03
338,말,0.03
339,정국,0.03
340,체공휴일,0.03
341,평일에,0.03
342,추진시켜,0.03
343,확인,0.03
344,그게,0.03
345,없어요,0.03
346,불어온다,0.03
347,현,0.03
348,봄날의,0.03
349,갑자기,0.03
350,하루,0.03
351,성별,0.03
352,것도,0.03
353,ㅤ,0.03
354,봐,0.03
355,강력한,0.03
356,구합니다,0.03
357,지성이,0.03
358,모르는,0.03
359,자기,0.03
360,이미,0.03
361,황민현,0.03
362,혼자,0.03
363,월호,0.03
364,정한이,0.03
365,요,0.03
366,함,0.03
367,대,0.03
368,덤,0.03
369,듯,0.03
370,존나,0.03
371,교환,0.03
372,같음,0.03
373,남자,0.03
374,안내,0.03
375,글로벌,0.03
376,윤두준,0.03
377,제일,0.03
378,깜짝,0.03
379,노래,0.03
380,둘,0.03
381,국내,0.03
382,보나,0.03
383,월의,0.03
384,고,0.03
385,뉴스,0.03
386,정한이가,0.03
387,사랑합니다,0.03
388,은서,0.03
389,ㅜㅡㅜ,0.03
390,확인하세요,0.03
391,하지만,0.03
392,요즘,0.03
393,드려요,0.03
394,아직,0.03
395,같은데,0.03
396,셀카,0.03
397,ㅋㅋㅋㅋㅋ,0.03
398,없음,0.03
399,링크,0.03
400,행복한,0.03
401,막,0.03
402,일단,0.03
403,없어서,0.03
404,아미친,0.03
405,입양하면,0.03
406,이런것도,0.03
407,주네ㅋㅋㅋㅋㅋㅋ,0.03
408,안에,0.03
409,나의,0.03
410,자세한,0.03
411,없이,0.03
412,말고,0.03
413,ㅠㅠㅠ,0.03
414,마스크,0.03
415,최고,0.03
416,매주,0.03
417,계절,0.03
418,라고,0.03
419,따스한,0.03
420,포토를,0.03
421,버전,0.03
422,전에,0.03
423,진,0.03
424,말을,0.03
425,그래도,0.03
426,고양이,0.03
427,아니면,0.03
428,한국,0.03
429,재민이,0.03
430,코로나,0.03
431,동시에,0.03
432,중국,0.03
433,필름뷰어,0.03
434,스페셜키트,0.03
435,기,0.03
436,야,0.03
437,그럼,0.03
438,입니다,0.03
439,엔하이픈,0.03
440,저의,0.03
441,아직도,0.03
442,에스파,0.03
443,개월,0.03
444,없고,0.03
445,좋아요,0.03
446,축하하고,0.03
447,사랑하고,0.03
448,층,0.03
449,뭐한,0.03
450,등,0.03
451,버블,0.03
452,현재,0.03
453,싶은,0.03
454,그리,0.03
455,여기가,0.03
456,커미션,0.03
457,아티스트,0.03
458,신나라,0.03
459,하면서,0.03
460,생각,0.03
461,인증샷,0.03
462,세,0.03
463,연습생때,0.03
464,심지어,0.03
465,조금,0.03
466,감사해요,0.03
467,디엠주세요,0.03
468,주년,0.03
469,싹쓸이,0.03
470,음반음원,0.03
471,아이튠즈,0.03
472,차트도,0.03
473,백신,0.03
474,이유,0.03
475,했다,0.03
476,맨날,0.03
477,ㅠㅡㅠ,0.03
478,받을,0.03
479,당신은,0.03
480,주,0.02
481,쉽게,0.02
482,스타뉴스,0.02
483,추첨해서,0.02
484,위한,0.02
485,갔다,0.02
486,은,0.02
487,남겨요,0.02
488,제품,0.02
489,아님,0.02
490,추첨을,0.02
491,우리의,0.02
492,해도,0.02
493,얼마나,0.02
494,자,0.02
495,않는,0.02
496,러비티의,0.02
497,고마워요선물로,0.02
498,원진,0.02
499,생일선물,0.02
500,맘에들어하실라나,0.02
501,니가,0.02
502,어떤,0.02
503,인증,0.02
504,밤,0.02
505,박지훈,0.02
506,생각이,0.02
507,한다,0.02
508,작업실이라면서요,0.02
509,나옴,0.02
510,부탁드려요,0.02
511,나왔어요,0.02
512,우리는,0.02
513,큰,0.02
514,하지,0.02
515,너,0.02
516,이기광,0.02
517,컴백,0.02
518,뭐야,0.02
519,절대,0.02
520,방법,0.02
521,있었는데,0.02
522,물론,0.02
523,생각하면,0.02
524,핫소스,0.02
525,빨리,0.02
526,엄청,0.02
527,저도,0.02
528,사람들이,0.02
529,실화야,0.02
530,선우,0.02
531,귀염둥이시,0.02
532,살,0.02
533,시리즈,0.02
534,오,0.02
535,음방,0.02
536,하는데,0.02
537,것은,0.02
538,당발은,0.02
539,올,0.02
540,확인해주세요,0.02
541,했습니다,0.02
542,석진,0.02
543,관심,0.02
544,있고,0.02
545,여기,0.02
546,강다니엘,0.02
547,오늘은,0.02
548,받고,0.02
549,사이에,0.02
550,드래곤볼,0.02
551,보는,0.02
552,돌아온다,0.02
553,즐겁게,0.02
554,아니고,0.02
555,먼저,0.02
556,인,0.02
557,업데이트,0.02
558,안무,0.02
559,그거,0.02
560,최근,0.02
561,트윗,0.02
562,이름,0.02
563,저렇게,0.02
564,드릴게요,0.02
565,사랑을,0.02
566,전부,0.02
567,그래,0.02
568,올림,0.02
569,초,0.02
570,골라,0.02
571,속,0.02
572,결국,0.02
573,응,0.02
574,및,0.02
575,폼,0.02
576,기간,0.02
577,없습니다,0.02
578,축복,0.02
579,포스터,0.02
580,천러자리,0.02
581,말이,0.02
582,양도합니다,0.02
583,것이,0.02
584,밥,0.02
585,더욱,0.02
586,올라이브,0.02
587,방송,0.02
588,님,0.02
589,직접,0.02
590,울,0.02
591,아는,0.02
592,이도현,0.02
593,점점,0.02
594,우리가,0.02
595,한정,0.02
596,광고,0.02
597,작은,0.02
598,하자,0.02
599,아이디,0.02
600,단,0.02
601,최고의,0.02
602,밖에,0.02
603,한분,0.02
604,집에,0.02
605,날씨가,0.02
606,콘서트,0.02
607,콘셉트,0.02
608,무대,0.02
609,ㅋㅋㅋㅋㅋㅋㅋㅋ,0.02
610,미친,0.02
611,트친소,0.02
612,아미,0.02
613,쓰고,0.02
614,웃김,0.02
615,소식,0.02
616,될,0.02
617,태민,0.02
618,귀엽다,0.02
619,뷔,0.02
620,앞으로,0.02
621,해시,0.02
622,상,0.02
623,않고,0.02
624,타,0.02
625,장르,0.02
626,넌,0.02
627,아닌가,0.02
628,쫑똘이와,0.02
629,쫑쫑이,0.02
630,마음을,0.02
631,사랑,0.02
632,ㅋㅋㅋㅋㅋㅋ,0.02
633,출근,0.02
634,마지막,0.02
635,어케,0.02
636,다음주,0.02
637,해요,0.02
638,사,0.02
639,마음에,0.02
640,없다,0.02
641,ㅇ,0.02
642,촬영,0.02
643,하드털이,0.02
644,사람들,0.02
645,회,0.02
646,짤,0.02
647,마녀공장,0.02
648,영화,0.02
649,그건,0.02
650,새로운,0.02
651,입고,0.02
652,같아,0.02
653,자꾸,0.02
654,공구,0.02
655,늘,0.02
656,부분,0.02
657,별,0.02
658,그걸,0.02
659,나온,0.02
660,꼭꼭,0.02
661,음,0.02
662,대박부동산,0.02
663,입맛대로,0.02
664,가지고,0.02
665,설아,0.02
666,당신,0.02
667,믿고,0.02
668,순위,0.02
669,와서,0.02
670,그림,0.02
671,이번에,0.02
672,팬싸,0.02
673,진심,0.02
674,보이는,0.02
675,된답니다,0.02
676,ㅜ,0.02
677,드,0.02
678,좋네,0.02
679,남준,0.02
680,마이크,0.02
681,되면,0.02
682,한장,0.02
683,별로,0.02
684,못하는,0.02
685,웹툰,0.02
686,윤기,0.02
687,태형,0.02
688,이야기,0.02
689,진짜로,0.02
690,어디서,0.02
691,크래비티,0.02
692,벅스,0.02
693,추진,0.02
694,얼굴은,0.02
695,안녕하세요,0.02
696,분들이,0.02
697,싶다,0.02
698,파이프라인,0.02
699,특전,0.02
700,맞는,0.02
701,라는,0.02
702,엑시,0.02
703,자기가,0.02
704,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.02
705,트위터,0.02
706,덕질자금,0.02
707,성공,0.02
708,마피아,0.02
709,원우,0.02
710,커버,0.02
711,예쁜,0.02
712,땡큐,0.02
713,나랑,0.02
714,엔시티드림,0.02
715,범죄,0.02
716,돼,0.02
717,오랜만에,0.02
718,가능합니다,0.02
719,맛있어요,0.02
720,밑에,0.02
721,파워서클,0.02
722,드볼,0.02
723,한분께,0.02
724,웃기다,0.02
725,참,0.02
726,트친,0.02
